code;product_name_pl;product_name_en;generic_name_en;generic_name_pl;quantity;serving_size;brands;categories;categories_tags;countries;countries_tags;origins_tags;energy-kcal_value;energy-kcal_unit;fat_value;fat_unit;saturated-fat_value;saturated-fat_unit;carbohydrates_value;carbohydrates_unit;sugars_value;sugars_unit;fiber_value;fiber_unit;proteins_value;proteins_unit;salt_value;salt_unit
5901751001368;Ksylitol;;;;500 g;;Zielony Listek,Domos;Produkty wykorzystywane do słodzenia, Dodatek do żywności, Zastępniki cukru, Naturalne zastępniki cukru, Ksylitol;en:sweeteners,en:food-additives,en:sugar-substitutes,en:natural-sugar-substitutes,en:xylitol;Polska;en:poland;;240;kcal;0;g;0;g;100;g;0;g;0;g;0;g;0;g
5900125009924;Rice & corn cakes paprika BBQ;Rice & Corn Cakes Paprika BBQ;;;134 g;134;Good Food;Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Cereals and their products, Puffed cereal cakes, Puffed rice cakes;en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:puffed-cereal-cakes,en:puffed-rice-cakes;Denmark, Poland;en:denmark,en:poland;;417;kcal;8.9;g;0.9;g;76;g;4.7;g;2.7;g;6.9;g;1.28;g
5903111176303;Pierogi z kapustą i grzybami;;;;500 g;250 g;Karczma Bukówka;Posiłki, Pierogi z kapustą i grzybami;en:meals,pl:pierogi-z-kapustą-i-grzybami;Polska;en:poland;;153;kcal;3;g;0.4;g;25;g;0.8;g;3.8;g;4.6;g;1;g
5905784315218;VEGEtal vegangurt kokos wanilia;;;;150 g;150 g;Carrefour;Żywność i napoje na bazie roślin, Żywność fermentowana, Zastępniki nabiału, Desery, en:Non-dairy desserts, en:Non-dairy fermented foods, Jogurty bezmleczne, en:Coconutmilk yogurts;en:plant-based-foods-and-beverages,en:fermented-foods,en:dairy-substitutes,en:desserts,en:non-dairy-desserts,en:non-dairy-fermented-foods,en:non-dairy-yogurts,en:coconutmilk-yogurts;Polska;en:poland;;77;kcal;4.7;g;4.5;g;8.1;g;4.3;g;0.3;g;0.5;g;0.02;g
5900512987682;Serek wiejski lekki 3%;;;;200 g;;Pilos;Nabiał, Żywność fermentowana, Fermentowane produkty mleczne, Sery, Desery, Desery mleczne, Fermentowane desery mleczne, en:Plain fermented dairy desserts, en:Fresh cheeses, Cottage cheese, en:Plain cottage cheeses;en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:plain-fermented-dairy-desserts,en:fresh-cheeses,en:cottage-cheeses,en:plain-cottage-cheeses;Polska;en:poland;;81;kcal;3;g;2;g;2.4;g;2.4;g;;;11;g;0.7;g
4056489810650;Gyros roślinny;;;;150 g;150 g;Vemondo;Meat alternatives, Meat analogues;en:meat-alternatives,en:meat-analogues;Poland;en:poland;;300;kcal;19.7;g;1.7;g;7;g;1.1;g;3;g;22.1;g;1.18;g
5900384171714;Kurczak zagrodowy z chowu bez antybiotyków w galarecie;;;;150 g;;Zagrodowy z Podlasia;Produkty na bazie mięsa, Mięsa przetworzone, Kurczak w galarecie;en:meats-and-their-products,en:prepared-meats,pl:kurczak-w-galarecie;Polska;en:poland;;59;kcal;1.5;g;0.5;g;1.8;g;0.7;g;;;9.5;g;1.3;g
4056489100621;Bulgur z serem w stylu śródziemnomorskim i hummusem;;;;220 g;220g;Select&Go;Posiłki, Gotowe sałatki;en:meals,en:prepared-salads;Polska;en:poland;;213;kcal;11;g;2;g;20;g;2;g;3.2;g;7;g;1.11;g
5907569001101;Mąka kukurydziana bezglutenowa;;;;450 g;;;Żywność i napoje na bazie roślin, Żywność na bazie roślin, Zboża i ziemniaki, Zboża i produkty zbożowe, Mąki, Mąki zbożowe, Mąki kukurydziane;en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:flours,en:cereal-flours,en:cornmeal;Polska;en:poland;;342;kcal;1.7;g;0.5;g;72.2;g;0.9;g;2.3;g;8.3;g;0.01;g
8437021001884;antyoksydacja - kiwi, matcha, ananas, mango;;;;;;Foodini;Żywność i napoje na bazie roślin, Napoje, Napoje na bazie roślin, Smoothie;en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:smoothies;Polska;en:poland;;67;kcal;0.6;g;0.2;g;14;g;11;g;0.9;g;0.9;g;0.02;g
5900741604886;Lasagne vegetariana;;;;400 g;400g;Come a casa;Posiłki, Dania z makaronem, Gotowa lasagne, en:Vegetarian lasagne;en:meals,en:pasta-dishes,en:prepared-lasagne,en:vegetarian-lasagne;Polska;en:poland;;103;kcal;3.7;g;1;g;12;g;4.3;g;2;g;4.3;g;0.75;g
8595630525679;Moulded milk chocolate decorated in colours;;;;100 g;14,28g;The Chocolate;Przekąski, Słodkie przekąski, Kakao i produkty na bazie kakao, Czekolada, Czekolada mleczna;en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:chocolates,en:milk-chocolates;Polska;en:poland;;558;kcal;34.4;g;21.1;g;54.7;g;54.2;g;;;6.8;g;0.2;g
5901886016183;Pysio jabłko, banan, kiwi - napój z owoców i marchwi;;;;;200 ml;Fortuna Sp. z o.o.;;;Polska;en:poland;;35;kcal;0.5;g;0.1;g;7.8;g;7.8;g;;;0.5;g;0;g
5900771004434;Jogurt naturalny;;;;;;JOGO;Nabiał, Żywność fermentowana, Fermentowane produkty mleczne, Desery, Desery mleczne, Fermentowane desery mleczne, Jogurty, en:Plain fermented dairy desserts, Jogurty naturalne;en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts,en:plain-fermented-dairy-desserts,en:plain-yogurts;Polska;en:poland;;67;kcal;3;g;2.1;g;5.9;g;5.9;g;;;4.5;g;0.12;g
613008767518;Arizona Half Iced Tea & Half Lemonade;;;;500 ml;;;;;Polska;en:poland;;4;kcal;0;g;0;g;1.2;g;0.8;g;0;g;0;g;0.02;g
7613287841292;Budyń o smaku śmietankowym z chrupiącą posypką;;;;59 g;59g;Winiary;en:Cooking helpers, en:Dessert mixes, Budyń w proszku;en:cooking-helpers,en:dessert-mixes,en:mixes-for-dessert-creams;Polska;en:poland;;99;kcal;2.6;g;1.5;g;15.5;g;9.4;g;0.2;g;3.2;g;0.12;g
5908230532016;Kabanosy drobiowe z wieprzowiną;Kabanosy drobiowe z wieprzowiną;;;;100.0g;Tarczyński;Meats and their products, Prepared meats, Sausages, Polish meat products, pl:Kabanosy;en:meats-and-their-products,en:prepared-meats,en:sausages,en:polish-meat-products,pl:kabanosy;Poland;en:poland;;542;kcal;47;g;17;g;3.40000009536743;g;1.29999995231628;g;;;25;g;;
5900966008254;"Pastylki pudrowe z sokami owocowymi &quot;To lubię&quot;";;;;120 g;;JEDNOŚĆ;Przekąski, Słodkie przekąski;en:snacks,en:sweet-snacks;Polska;en:poland;;391;kcal;0;g;0;g;97;g;95;g;;;0;g;0;g
5902379402032;Bonitki kruche z kremem;;;;130 g;16 g;Bonitki;Przekąski, Słodkie przekąski, en:Biscuits and cakes, Herbatnik;en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits;Polska;en:poland;;495;kcal;30;g;16;g;56;g;1.5;g;1.9;g;9.4;g;0.53;g
5904689181089;Pasta słonecznikowa z pomidorami;;;;170 g;43 g;Go vege;Żywność i napoje na bazie roślin, Żywność na bazie roślin, Smarowidła, Roślinne smarowidła, Słone smarowidła, Wegańskie pasty warzywne;en:plant-based-foods-and-beverages,en:plant-based-foods,en:spreads,en:plant-based-spreads,en:salted-spreads,en:vegan-vegetable-spreads;Polska;en:poland;;296;kcal;23;g;2.5;g;13;g;10;g;3.1;g;8;g;1;g
5901473052655;Tofu naturalne;;;;400 g;;Well Well,Polsoja;Żywność i napoje na bazie roślin, Żywność na bazie roślin, Strączkowe i produkty strączkowe, Alternatywy mięsa, Tofu, Tofu naturalne;en:plant-based-foods-and-beverages,en:plant-based-foods,en:legumes-and-their-products,en:meat-alternatives,en:tofu,en:plain-tofu;Polska;en:poland;;120;kcal;6.9;g;1.1;g;0.4;g;0.4;g;2.2;g;13.6;g;0;g
5904716013284;Z szynką ser topiony;;;;8 x 16,25 g;16,25 g;Światowid,Polmlek;Молочні продукти, Ферментовані продукти, en:Fermented milk products, en:Cheeses, en:Processed cheese, en:Melted cheese, en:Processed cheese in slices;en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:processed-cheese,en:melted-cheese,en:processed-cheese-in-slices;Польща;en:poland;;298;kcal;25;g;17;g;3.3;g;2.2;g;0;g;15;g;2.5;g
